Year,Optimal_biomass,Treatment,SLR_100,dzdt mm/yr,Standing Bio g/m2,Fractional Ind Time,Susp Org Input mm cm-2 y-1,Depth rel to MHW,Cquest   g C m-2 y-1,totBGB (kg/m2),MSL (cm NAVD) 10 ,SLR mm/y,marshE cm NAVD,Marsh E rel MSL (cm),pedonD,Inorg mm yr-1,Tot Live BG BIO kg/m2,Org Vol Fraction,top level root vol mm/cm2,Root Mort kg m-2 y-1,Sum Org Vol cm3, Sum Mineral (cm3) ,Cum Change Org Vol mm/cm2,Cum Change Min Vol mm/cm2,delta (mm) Marsh Elevation
1,'0',None,60 cm 100 y-1,0.81,0.00,0.22,0.00,32.89,0.00,76.00,4.69,3.48,47.88,43.20,94.86,2.36,0.00,0.94,0.00,0.00,88.80,6.01,0.00,0.80,4.10
2,'0',None,60 cm 100 y-1,0.82,0.00,0.22,0.00,33.15,0.00,76.00,5.04,3.53,47.96,42.93,94.94,0.82,0.00,0.94,0.00,0.00,88.80,6.09,0.00,1.60,4.20
3,'0',None,60 cm 100 y-1,0.84,0.00,0.22,0.00,33.43,0.00,76.00,5.39,3.58,48.05,42.66,95.02,0.84,0.00,0.93,0.00,0.00,88.80,6.18,0.00,2.50,4.20
4,'0',None,60 cm 100 y-1,0.85,0.00,0.22,0.00,33.71,0.00,76.00,5.75,3.64,48.13,42.38,95.11,0.85,0.00,0.93,0.00,0.00,88.80,6.26,0.00,3.30,4.30
5,'0',None,60 cm 100 y-1,0.87,0.00,0.22,0.00,33.99,0.00,76.00,6.12,3.69,48.22,42.10,95.20,0.87,0.00,0.93,0.00,0.00,88.80,6.35,0.00,4.20,4.40
6,'0',None,60 cm 100 y-1,0.88,0.00,0.23,0.00,34.27,0.00,76.00,6.49,3.74,48.31,41.82,95.28,0.88,0.00,0.93,0.00,0.00,88.80,6.44,0.00,5.10,4.50
7,'0',None,60 cm 100 y-1,0.90,0.00,0.23,0.00,34.56,0.00,76.00,6.87,3.79,48.40,41.53,95.37,0.90,0.00,0.93,0.00,0.00,88.80,6.53,0.00,6.00,4.60
8,'0',None,60 cm 100 y-1,0.91,0.00,0.23,0.00,34.85,0.00,76.00,7.25,3.85,48.49,41.24,95.46,0.91,0.00,0.93,0.00,0.00,88.80,6.62,0.00,6.90,4.70
9,'0',None,60 cm 100 y-1,0.93,0.00,0.23,0.00,35.15,0.00,76.00,7.64,3.90,48.58,40.94,95.56,0.93,0.00,0.93,0.00,0.00,88.80,6.71,0.00,7.80,4.80
10,'0',None,60 cm 100 y-1,0.94,0.00,0.23,0.00,35.45,0.00,76.00,8.03,3.95,48.67,40.65,95.65,0.94,0.00,0.93,0.00,0.00,88.80,6.80,0.00,8.70,4.90
11,'0',None,60 cm 100 y-1,0.96,0.00,0.24,0.00,35.75,0.00,76.00,8.43,4.00,48.77,40.34,95.75,0.96,0.00,0.93,0.00,0.00,88.80,6.90,0.00,9.70,5.00
12,'0',None,60 cm 100 y-1,0.97,0.00,0.24,0.00,36.06,0.00,76.00,8.83,4.06,48.87,40.04,95.84,0.97,0.00,0.93,0.00,0.00,88.80,7.00,0.00,10.70,5.10
13,'0',None,60 cm 100 y-1,0.99,0.00,0.24,0.00,36.37,0.00,76.00,9.24,4.11,48.97,39.73,95.94,0.99,0.00,0.93,0.00,0.00,88.80,7.10,0.00,11.70,5.20
14,'0',None,60 cm 100 y-1,1.01,0.00,0.24,0.00,36.68,0.00,76.00,9.65,4.16,49.07,39.42,96.04,1.01,0.00,0.93,0.00,0.00,88.80,7.20,0.00,12.70,5.30
15,'0',None,60 cm 100 y-1,1.03,0.00,0.24,0.00,37.00,0.00,76.00,10.07,4.21,49.17,39.10,96.15,1.03,0.00,0.92,0.00,0.00,88.80,7.30,0.00,13.70,5.40
16,'0',None,60 cm 100 y-1,1.04,0.00,0.25,0.00,37.32,0.00,76.00,10.49,4.27,49.27,38.78,96.25,1.04,0.00,0.92,0.00,0.00,88.80,7.40,0.00,14.70,5.50
17,'0',None,60 cm 100 y-1,1.06,0.00,0.25,0.00,37.65,0.00,76.00,10.92,4.32,49.38,38.46,96.36,1.06,0.00,0.92,0.00,0.00,88.80,7.51,0.00,15.80,5.60
18,'0',None,60 cm 100 y-1,1.08,0.00,0.25,0.00,37.98,0.00,76.00,11.36,4.37,49.49,38.13,96.47,1.08,0.00,0.92,0.00,0.00,88.80,7.62,0.00,16.90,5.70
