Year	dieback_factor	marsh_location	N	DEM	sd	se	ci	N_total	Percetage
1	2009		Creekbank	76876	0.289822126083102	0.207472773651934	0.000748282733224974	0.00146663029884828	5099927	1.50739412544532
2	2009		Midmarsh	296106	0.552545923121781	0.154993673486212	0.000284833041751993	0.000558264785415015	5099927	5.80608310667976
3	2009	Dieback	Creekbank	49149	0.229081928232668	0.185015292376601	0.000834546006663365	0.00163572039926845	5099927	0.963719676771844
4	2009	Dieback	Midmarsh	164234	0.436691757881279	0.150578820231724	0.000371562909499501	0.000728255287706599	5099927	3.22032060458905
5	2009	Vegetated	Creekbank	913408	0.447429829518711	0.171677267623261	0.000179630627510811	0.000352070026973005	5099927	17.9102171462454
6	2009	Vegetated	Midmarsh	3600154	0.541534297904355	0.130154852771376	6.85961633668786e-05	0.00013444605487722	5099927	70.5922653402686
7	2011		Creekbank	41283	0.301327877070808	0.187100969481161	0.000920853224233701	0.00180489207292586	5102075	0.809141378752762
8	2011		Midmarsh	126229	0.508144823682523	0.181520922152332	0.000510913194131772	0.00100138106168371	5102075	2.47407182371878
9	2011	Dieback	Creekbank	85059	0.20925007099481	0.165881194878955	0.00056877044191163	0.00111478544487139	5102075	1.66714523012696
10	2011	Dieback	Midmarsh	174299	0.388938600432822	0.137068445978325	0.000328314482976526	0.000643489030769618	5102075	3.41623751120867
11	2011	Vegetated	Creekbank	913689	0.451165852244243	0.170918999768401	0.000178809728769117	0.000350461092729492	5102075	17.9081844151644
12	2011	Vegetated	Midmarsh	3761516	0.546011684884874	0.12840841741973	6.62082390084498e-05	0.000129765805691884	5102075	73.7252196410284
13	2013		Creekbank	100737	0.33375027517201	0.211822389738596	0.000667386406758724	0.0013080690377463	5102075	1.97443197130579
14	2013		Midmarsh	290401	0.585608934528341	0.194559269407848	0.000361037965331659	0.000707624358424975	5102075	5.69182146479619
15	2013	Dieback	Creekbank	124696	0.295886005036549	0.163457031626548	0.000462889518281219	0.000907255591019537	5102075	2.44402522503099
16	2013	Dieback	Midmarsh	684939	0.473870447469433	0.131190802883894	0.000158517583167079	0.000310689302947742	5102075	13.4247144544132
17	2013	Vegetated	Creekbank	814598	0.456601654012177	0.172043566897313	0.000190619255177895	0.000373607430031162	5102075	15.9660138277074
18	2013	Vegetated	Midmarsh	3086704	0.547876356246547	0.123561298935003	7.03290859118508e-05	0.000137842529503963	5102075	60.4989930567465
19	2015		Creekbank	77399	0.321696768643658	0.177850066575136	0.000639272992790935	0.00125297163636389	5102075	1.51701023603142
20	2015		Midmarsh	330627	0.534329765709039	0.144818676025443	0.000251857805239185	0.000493634034602971	5102075	6.48024578235326
21	2015	Dieback	Creekbank	169027	0.265669342521498	0.155358440331279	0.00037788252699876	0.000740641446903749	5102075	3.31290700352308
22	2015	Dieback	Midmarsh	712641	0.452519075063692	0.138025688775437	0.000163502546349733	0.000320459646502329	5102075	13.9676700166109
23	2015	Vegetated	Creekbank	793605	0.469577808550123	0.168274868528443	0.000188893521108055	0.000370225062933281	5102075	15.5545537844896
24	2015	Vegetated	Midmarsh	3018776	0.558709363439793	0.124332817844541	7.15600000497406e-05	0.000140255079065839	5102075	59.1676131769917
25	2016		Creekbank	1193015	0.381934472555493	0.192322420966949	0.000176078757598214	0.000345108373462539	57126495	2.08837422985604
26	2016		Midmarsh	4112497	0.537008923458788	0.142231458360255	7.01363023902007e-05	0.000137464667151365	57126495	7.19893107392638
27	2016	Dieback	Creekbank	2511892	0.296414862947802	0.168266474299496	0.000106168850108596	0.000208087222760537	57126495	4.39707004604431
28	2016	Dieback	Midmarsh	11987719	0.482221287120803	0.129377440379425	3.73671760051348e-05	7.32383265686923e-05	57126495	20.984516904109
29	2016	Vegetated	Creekbank	8271499	0.455031309433993	0.18489578843223	6.42887391152739e-05	0.000126003631715485	57126495	14.4792692077468
30	2016	Vegetated	Midmarsh	29049873	0.560818093013932	0.130099937587062	2.41382048802152e-05	4.73100141878454e-05	57126495	50.8518385383175
31	2017		Creekbank	102068	0.438910222030576	0.200071161517582	0.000626238395087384	0.00122741925549405	5102075	2.00051939652004
32	2017		Midmarsh	401941	0.556327871238098	0.126260559632135	0.000199152863664645	0.000390333615614979	5102075	7.87799081746152
33	2017	Dieback	Creekbank	262519	0.313085991146266	0.155032564244127	0.000302581631135313	0.000593051833731392	5102075	5.14533792623589
34	2017	Dieback	Midmarsh	1223751	0.476420023104927	0.128429125406564	0.000116095930093231	0.000227544066789614	5102075	23.9853588980954
35	2017	Vegetated	Creekbank	675444	0.46706149889126	0.175466463987813	0.000213500772204295	0.000418454574044423	5102075	13.2386137012882
36	2017	Vegetated	Midmarsh	2436352	0.566065761580791	0.128765919774036	8.24956249756704e-05	0.00016168853416034	5102075	47.752179260399
37	2019		Creekbank	231464	0.321051774111608	0.215604972272428	0.00044814344182425	0.000878349598942539	14171829	1.63326836641904
38	2019		Midmarsh	525601	0.536769338730923	0.159966068079677	0.000220647889964652	0.00043246291348175	14171829	3.70877322891774
39	2019	Dieback	Creekbank	439719	0.297509288575774	0.14300216154777	0.000215652742868661	0.00042267277263593	14171829	3.10276817480651
40	2019	Dieback	Midmarsh	2228692	0.464413037205282	0.122778803479508	8.22428912683559e-05	0.00016119319241174	14171829	15.7262128974319
41	2019	Vegetated	Creekbank	2216392	0.462354944339237	0.173914308916914	0.000116818608393849	0.000228960390210637	14171829	15.6394209949894
42	2019	Vegetated	Midmarsh	8529961	0.557425636185039	0.129329614485023	4.42817178326241e-05	8.67905844407196e-05	14171829	60.1895563374353
